,Absolute Time, ,Time Since Beginning (sec), Index ,Grip Reading,
,2019-03-27 18:41:11, 0 6.00814819336e-05 ,THIS IS A TEST, ,THIS IS A TEST,
,2019-03-27 18:41:21, 1 10.0109829903 None None
,2019-03-27 18:41:31, 2 20.0117881298 None None
